WKT,name,description
"POINT (-121.9666712 37.377401)",Parents Helping Parents - Food Distribution Center,
"POINT (-121.9980494 37.3820782)",Sunnyvale Community Services,
"POINT (-121.965498 37.409509)",Rahima Foundation - Food Distribution Center,
"POINT (-121.9018339 37.409979)",Milpitas Food Pantry,
"POINT (-121.9074452 37.246261)",South Valley FISH Food Pantry,
"POINT (-121.8918773 37.3433789)",Salvation Army Silicon Valley Food Pantry,
"POINT (-121.8772059 37.2916857)",Second Harvest of Silicon Valley,
"POINT (-121.9434038 37.3832774)",Manna Food Distribution,
"POINT (-121.9528623 37.3810934)",River of Life Foundation Food Pantry,
"POINT (-121.9525964 37.41325930000001)",Second Harvest of Silicon Valley,
